,Year,Rank,Score,Farm,Farmer,Region,Process,Variety_1,Variety_2,Variety_3,Variety_4,Weight (Lbs),High Bid (US$),Total Value (US$),Company Name
0,2022,1A,90.59,Koperasi Ribang Gayo Musara,Bahagia Ginting,Aceh,Natural,Ateng,P-88,,,429.9,40.2,17281.98,Sulalat Coffee Trading
1,2022,1B,90.59,Koperasi Ribang Gayo Musara,Bahagia Ginting,Aceh,Natural,Ateng,P-88,,,396.83,40.2,15952.566,"Coffee Beyond Borders for Uminomuko Coffee, Xtrat"
2,2022,2,89.85,Pegasing Takengon Utara,PT. Biji Kopi Internusa,Aceh,Natural,Sigararutang,Typica,,,595.25,20.2,12024.05,La Boheme Cafe
3,2022,3,89.59,Frinsa Weninggalih,Yasmin Nabila Salsabila,Jawa Barat,Anaerobic Natural,S-795,P-88,Bourbon,Sigararutang,595.25,26.9,16012.224999999999,"Coffee Beyond Borders for Uminomuko Coffee, Xtrat"
4,2022,4,89.18,Koperasi Ribang Gayo Musara,Zakiah,Aceh,Natural,Ateng,P-88,Bourbon,,793.66,15.2,12063.632,La Boheme Cafe & Huracan Coffee
5,2022,5,89.15,Koperasi Ribang Gayo Musara,Dimas Apriandi,Aceh,Washed,Ateng,P-88,,,793.66,13.5,10714.41,Kyokuto Fadie Corporation
6,2022,6,88.91,Panangan Mata Takengon Utara,Christian,Aceh,Honey,Sigararutang,Typica,,,562.18,14.1,7926.737999999999,"Coffee Therapy (Thailand), Coffee Me Up (Korea), Dabov Specialty Coffee (Bulgaria), BIG BLACK BOX (Thailand), Casa Lapin (Thailand), MARISSTELLA COFFEE (Korea)"
7,2022,7,88.68,Koperasi Ribang Gayo Musara,Asman Arianto,Aceh,Honey,Ateng,P-88,Bourbon,,826.73,19.55,16162.571500000002,Coffee Beyond Borders for Uminomuko Coffee
8,2022,8,88.5,Koperasi Ribang Gayo Musara,Dilen Ali Gogo,Aceh,Honey,Ateng,P-88,Bourbon,,793.66,10.7,8492.161999999998,Kyokuto Fadie Corporation
9,2022,9,88.09,Terang Ulen,Fahman Yoga,Aceh,Wet Hulled,Ateng,Tim-Tim,Typica,,562.18,20.2,11356.035999999998,Blue Bottle Coffee
10,2022,10,87.85,"Ceding Ayu, Pantan Musara",Drs Hamdan,Aceh,Carbonic Maceration Honey,Ateng,Typica,Caturra,P-88,562.18,13.3,7476.994,"Dabov Specialty Coffee, Coffee Therapy (Thailand), Joy Coffee & Cacao"
11,2022,11,87.74,Renggali,Hakem Murtada,Aceh,Wet Hulled,Typica,Ateng,Other (unspecified),,694.46,9.7,6736.262,"Wataru & Co., Ltd."
12,2022,12,87.74,Koerintji Barokah Group,Abdul Aziz Thohari,Jambi,Lactic Natural,Sigararutang,Andungsari,,,595.25,20.1,11964.525000000001,SARUTAHIKO COFFEE
13,2022,13,87.65,Koerintji Farm,Ahmad Abi Sodik,Jambi,Washed,Sigararutang,Andungsari,,,562.18,14.5,8151.61,Wataru for Voila Coffee
14,2022,14,87.62,"Ceding Ayu, Pantan Musara",Eriyani N,Aceh,Anaerobic Natural,Ateng,Typica,Caturra,P-88,793.66,14.6,11587.436,Campos Coffee
15,2022,15,87.62,Ijen,Dandy Dharmawan,Jawa Timur,Anaerobic Natural,USDA,Kartika,,,1058.2,10.1,10687.82,SUPREMO COFFEE
16,2022,16,87.59,Avatara Coffee,Hendra Maulizar,Aceh,Washed,P-88,Ateng,Other (unspecified),Typica,562.18,10.9,6127.762,"UCC UESHIMA COFFEE CO.,LTD"
17,2022,17,87.53,Koperasi Ribang Gayo Musara,Rudi Suwito,Aceh,Washed,Ateng,P-88,Gayo 1,,793.66,12.8,10158.848,honu加藤珈琲店株式会社
18,2022,18,87.47,Koperasi Ribang Gayo Musara,Roberto Bagus Syahputra,Aceh,Washed,Ateng,P-88,,,793.66,13.2,10476.312,TAKAMURA COFFEE ROASTERS By Marukai and Idle Hands Roasting Company
19,2022,19,87.35,Tunas Baru Farm,Irwandi,Jambi,Anaerobic Natural,Sigararutang,Andungsari,,,595.25,10.1,6012.025,"Coffee Tech Limited (NZ)/coffee-tech.co.nz Upstream Coffee Imports , Marukai corporation ,Slick Coffee Co."
20,2022,20,87.15,Dasimah bukit sama,Yurda,Aceh,Honey,Ateng,,,,562.18,9.0,5059.62,"Wataru & Co., Ltd."
21,2022,21,87.15,Jaya Tani Farm,Triyono,Jambi,Anaerobic Natural,S-795,Sigararutang,Andungsari,,595.25,20.1,11964.525000000001,"Coffee Tech Limited (NZ)/coffee-tech.co.nz Cut Hand Group（剁手咖啡群）& Kinglo Coffee（轻乐咖）, Ryans Coffee Roasters , 群果貿易 Cheerbeans trading Co Ltd Taiwan , L’escargot d’or cosmetocafe ,Slick Coffee Co."
22,2022,22,87.06,Koperasi Ribang Gayo Musara,Victor Nopriansyah,Aceh,Washed,Ateng,,,,826.73,9.7,8019.281,"Wataru & Co., Ltd."
